raw_values,node,time_idx,series,node_values
-0.999,-408.462,667,0,-408.462
1,-407.462,668,0,-407.462
-0.999,-408.461,669,0,-408.461
1,-407.461,670,0,-407.461
1,-406.461,671,0,-406.461
-0.999,-407.46,672,0,-407.46
-0.999,-408.459,673,0,-408.459
-0.999,-409.458,674,0,-409.458
-0.999,-410.457,675,0,-410.457
1,-409.457,676,0,-409.457
-0.999,-410.456,677,0,-410.456
-0.999,-411.455,678,0,-411.455
-0.999,-412.454,679,0,-412.454
1,-411.454,680,0,-411.454
-0.999,-412.453,681,0,-412.453
1,-411.453,682,0,-411.453
-0.999,-412.452,683,0,-412.452
1,-411.452,684,0,-411.452
-0.999,-412.451,685,0,-412.451
1,-411.451,686,0,-411.451
-0.999,-412.45,687,0,-412.45
-0.999,-413.449,688,0,-413.449
-0.999,-414.448,689,0,-414.448
-0.999,-415.447,690,0,-415.447
-0.999,-416.446,691,0,-416.446
-0.999,-417.445,692,0,-417.445
-0.999,-418.444,693,0,-418.444
1,-417.444,694,0,-417.444
-0.999,-418.443,695,0,-418.443
-0.999,-419.442,696,0,-419.442
1,-418.442,697,0,-418.442
-0.999,-419.441,698,0,-419.441
-0.999,-420.44,699,0,-420.44
-0.999,-421.439,700,0,-421.439
-0.999,-422.438,701,0,-422.438
1,-421.438,702,0,-421.438
-0.999,-422.437,703,0,-422.437
-0.999,-423.436,704,0,-423.436
-0.999,-424.435,705,0,-424.435
-0.999,-425.434,706,0,-425.434
-0.999,-426.433,707,0,-426.433
1,-425.433,708,0,-425.433
-0.999,-426.432,709,0,-426.432
-0.999,-427.431,710,0,-427.431
-0.999,-428.43,711,0,-428.43
-0.999,-429.429,712,0,-429.429
-0.999,-430.428,713,0,-430.428
-0.999,-431.427,714,0,-431.427
-0.999,-432.426,715,0,-432.426
1,-431.426,716,0,-431.426
-0.999,-432.425,717,0,-432.425
-0.999,-433.424,718,0,-433.424
-0.999,-434.423,719,0,-434.423
-0.999,-435.422,720,0,-435.422
-0.999,-436.421,721,0,-436.421
-0.999,-437.42,722,0,-437.42
-0.999,-438.419,723,0,-438.419
-0.999,-439.418,724,0,-439.418
-0.999,-440.417,725,0,-440.417
-0.999,-441.416,726,0,-441.416
-0.999,-442.415,727,0,-442.415
1,-441.415,728,0,-441.415
-0.999,-442.414,729,0,-442.414
1,-441.414,730,0,-441.414
-0.999,-442.413,731,0,-442.413
-0.999,-443.412,732,0,-443.412
-0.999,-444.411,733,0,-444.411
-0.999,-445.41,734,0,-445.41
1,-444.41,735,0,-444.41
-0.999,-445.409,736,0,-445.409
1,-444.409,737,0,-444.409
1,-443.409,738,0,-443.409
-0.999,-444.408,739,0,-444.408
-0.999,-445.407,740,0,-445.407
-0.999,-446.406,741,0,-446.406
1,-445.406,742,0,-445.406
-0.999,-446.405,743,0,-446.405
-0.999,-447.404,744,0,-447.404
-0.999,-448.403,745,0,-448.403
-0.999,-449.402,746,0,-449.402
-0.999,-450.401,747,0,-450.401
-0.999,-451.4,748,0,-451.4
1,-450.4,749,0,-450.4
-0.999,-451.399,750,0,-451.399
-0.999,-452.398,751,0,-452.398
-0.999,-453.397,752,0,-453.397
-0.999,-454.396,753,0,-454.396
-0.999,-455.395,754,0,-455.395
